"FDP Form 4a - Annual Procurement Plan or Procurement List, by Office or Department",,,,,,,,,,,,,
,,,,,,,,,,,,,
ANNUAL PROCUREMENT PLAN,,,,,,,,,,,,,
,,,,,,,,,,,,,
REGION: IV A,,,CALENDAR YEAR:,,2026,,,,,,,,
PROVINCE: Batangas,,,,,,,,,,,,,
CITY/MUNICIPALITY:,,,,,,,,,,,,,
,,,,,,,,,,,,,
Code (PAP),"Procurement
Project","PMO/
End-User",Is this an Early Procurement Activity? (Yes/No),Mode of Procurement,Schedule for Each Procurement Activity,,,,Source of Funds,Estimated Budget (PhP),,,"Remarks
(brief description of Project)"
,,,,,Advertisement/Posting of IB/REI,Submission/Opening of Bids,Notice of Award,Contract Signing,,Total,MOOE,CO,
5 02 03 990,Other Supplies & Materials Expenses,GSO,NO, BIDDING/ SMALL VALUE ,January-December,January-December,January-December,January-December,GF,,,,
,Air Freshener 320ml spray lemon,,,,,,,,," 522,000.00 "," 522,000.00 ",,
,Air Freshener 275ml,,,,,,,,," 306,200.00 "," 306,200.00 ",,
,Air Freshener 1N refill 175g/269ml,,,,,,,,," 591,000.00 "," 591,000.00 ",,
,Alcohol 500ml,,,,,,,,," 77,200.00 "," 77,200.00 ",,
,Air Humidifier,,,,,,,,," 27,000.00 "," 27,000.00 ",,
,Air Humidifier Essential Oil (Oil Base 100ml),,,,,,,,," 55,400.00 "," 55,400.00 ",,
,Air Sanitizer 300ml,,,,,,,,," 108,800.00 "," 108,800.00 ",,
,Bathroom Soap 135g,,,,,,,,," 36,400.00 "," 36,400.00 ",,
,Bleaching Solution 1gal,,,,,,,,," 54,300.00 "," 54,300.00 ",,
,Bleaching Solution 500ml,,,,,,,,," 9,600.00 "," 9,600.00 ",,
,Bleaching Solution 500ml color safe,,,,,,,,," 15,000.00 "," 15,000.00 ",,
,Broom Tambo,,,,,,,,," 78,000.00 "," 78,000.00 ",,
,Car Freshener 80g,,,,,,,,," 97,200.00 "," 97,200.00 ",,
,Car freshener gel type 180g (lavander scent),,,,,,,,," 112,000.00 "," 112,000.00 ",,
,Court Mop,,,,,,,,," 150,000.00 "," 150,000.00 ",,
,Declogging Solution 1L,,,,,,,,," 192,000.00 "," 192,000.00 ",,
,Detergent Bar 380g (surf),,,,,,,,," 13,300.00 "," 13,300.00 ",,
,Detergent Powder 74g ,,,,,,,,," 8,740.00 "," 8,740.00 ",,
,Detergent Powder 1kg,,,,,,,,," 42,500.00 "," 42,500.00 ",,
,Dipper,,,,,,,,," 18,000.00 "," 18,000.00 ",,
,Dish rack,,,,,,,,," 1,650.00 "," 1,650.00 ",,
,Dishwashing Liquid 250ml ,,,,,,,,," 64,200.00 "," 64,200.00 ",,
,Disinfectant Spray 300ml,,,,,,,,," 122,800.00 "," 122,800.00 ",,
,"Doormat Cotton, medium",,,,,,,,," 91,200.00 "," 91,200.00 ",,
,Doormat Rubber medium (welcome),,,,,,,,," 100,800.00 "," 100,800.00 ",,
,Dust Pan,,,,,,,,," 39,900.00 "," 39,900.00 ",,
,Hand Sanitizer 250ml ,,,,,,,,," 74,400.00 "," 74,400.00 ",,
,Hand Wash Soap 250ml,,,,,,,,," 107,200.00 "," 107,200.00 ",,
,Floor Mop with Pail,,,,,,,,," 212,500.00 "," 212,500.00 ",,
,"Floor wax Liquid, White, 1L",,,,,,,,," 35,000.00 "," 35,000.00 ",,
,"Fabric conditioner, 1.2L refill",,,,,,,,," 87,600.00 "," 87,600.00 ",,
,Furniture Cleaner 330ml ,,,,,,,,," 184,400.00 "," 184,400.00 ",,
,Auto Spray Primary,,,,,,,,," 53,360.00 "," 53,360.00 ",,
,Glass Cleaner 500ml,,,,,,,,," 86,800.00 "," 86,800.00 ",,
,"Gloves, rubberized, large, 1 pair per pack",,,,,,,,," 50,000.00 "," 50,000.00 ",,
,Insecticide 500ml,,,,,,,,," 172,500.00 "," 172,500.00 ",,
,Insecticide 600ml Water based,,,,,,,,," 172,500.00 "," 172,500.00 ",,
,Kanebo,,,,,,,,," 31,000.00 "," 31,000.00 ",,
,Muriatic Acid 1L,,,,,,,,," 42,900.00 "," 42,900.00 ",,
,Pail 16L,,,,,,,,," 31,920.00 "," 31,920.00 ",,
,"Plaque 10""",,,,,,,,," 25,000.00 "," 25,000.00 ",,
,Push Brush with Handle,,,,,,,,," 70,000.00 "," 70,000.00 ",,
,Rag,,,,,,,,," 36,000.00 "," 36,000.00 ",,
