"GOVERNMENT PROCUREMENT POLICY BOARD - TECHNICAL SUPPORT OFFICE Unit 2506, Raffles Corporate Center, F. Ortigas Jr Road, Orgitas Center, Pasig City",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PROJECT PROCUREMENT MANAGEMENT PLAN (PPMP) 2025,,,,,,,,,,,,,,,,,
ADDENDUM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
END-USER/UNIT,PROVINCIAL VETERINARY OFFICE,,,,,,,,,,,,,,,,
CHARGED TO,LIVESTOCK AND POULTRY DEVELOPMENT SERVICES,,,,,,,,,,,,,,,,
,"(IMPLEMENTATION OF THE PROVINCIAL ORDINANGE No. 002 Series of 2012 otherwise known as the ""BATANGAS LIVESTOCK AND POULTRY ORDINANCE 2012"")",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Projects, Programs, and PAP's",,,,,,,,,,,,,,,,,
CODE,GENERAL DESCRIPTION,QUANTITY / SIZE,, ESTIMATED BUDGET (Php) ,Mode of Procurement,SCHEDULE / MILESTONE OF ACTIVITIES,,,,,,,,,,,
,,,,,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec
5-02-02-010,Training Expenses,,," 130,000.00 ",Bidding / Small Value / Direct / Direct Contracting ,,,,,,,,,,,,
,Training Kit,20,pcs," 32,000.00 ",,,,,,,,,20,,,,
,Honorarium for Resource Person,3,persons," 15,000.00 ",,,,,,,,,3,,,,
,Meals & Snacks (AM Snacks & Lunch),50,pax," 35,000.00 ",,,,,,,,,50,,,,
,Tshirt with collar and print premium dry fit,60,pcs," 48,000.00 ",,,,,,,,,60,,,,
,Total (Training Expenses),,," 130,000.00 ",,,,,,,,,,,,,
1-07-07-010,Furniture and Fixtures,,," 427,000.00 ",Bidding / Small Value,,,,,,,,,,,,
,"Partition - Fabric with glass partition, with powder coated endtrims and customized color scheme",1,pcs," 55,000.00 ",,,,,,,,,1,,,,
,Customized Coffee Table: Dimension: 60x60,1,pcs," 60,000.00 ",,,,,,,,,1,,,,
,Induction cooker,3,pcs," 138,000.00 ",,,,,,,,,3,,,,
,"Customized Dining Table 4-seater with Dining Chairs, 140L x 70Wx 75H",1,pcs," 114,000.00 ",,,,,,,,,1,,,,
,"Customized Office Sofa 2- seater, 150Lx60Wx80H",1,pcs," 60,000.00 ",,,,,,,,,1,,,,
,Total (Furniture and Fixtures),,," 427,000.00 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
TOTAL BUDGET:,,,,,,,,,,,,,,,,,
NOTE: ,Technical Specification for each item/Project being proposed shall be submitted as a part of the PPMP,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Prepared By,,Submitted By,,,Approved By:,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
RUNELITA N. PANGANIBAN,,"ROMELITO R. MARASIGAN, DVM",,,VILMA SANTOS-RECTO,,,,,,,,,,,,
Supervising  Administrative Officer,,PGDH - PROVET,,,Governor,,,,,,,,,,,,
